รายวิชาเพิ่มเติม ม.1  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,จันทร์,พุธ,พุธ,พฤหัสบดี,พฤหัสบดี,ศุกร์,ศุกร์
,,,,,,,,,7,8,7,8,5,6,1,2
,,,,,,,,,,,,,,,,
กลุ่มสาระการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,
ท20202,การละเล่นทางภาษา,1,2,"ศึกษารูปแบบ ที่มา โครงสร้างภาษา หลักการใช้ภาษาของ
การละเล่นทางภาษาที่ใช้ภาษาเป็นเครื่องมือในการถ่ายทอด
วิเคราะห์คุณค่าทางภาษา ความงามทางวรรณศิลป์ เช่น
การเล่นเสียง การเล่นคำผวน การเล่นปริศนาคำทาย เป็นต้น",อ.สุวิตรา,1,35,-,,,✔,✔,,,,
ท20218,งานเขียนดิจิทัลเพื่อครีเอเตอร์,1,2,พัฒนาทักษะภาษาไทยเพื่อการสื่อสารผ่านสื่อดิจิทัลอย่างสร้างสรรค์ ศึกษาหลักการเขียนบท บทความ และการผลิตสื่อประสม โดยยึดความถูกต้องตามหลักภาษาสัมพันธ์กับบริบทสังคมออนไลน์ เพื่อสร้างนักเรียนให้เป็นผู้ผลิตเนื้อหาที่มีคุณภาพ มีจรรยาบรรณ และเท่าทันต่อการเปลี่ยนแปลงของเทคโนโลยีในโลกปัจจุบัน,อ.อนุรักษ์,1,35,-,,,,,,,✔,✔
ท20210,"นิทานพื้นบ้านและตำนาน
ของไทย",1,2,"ศึกษาและวิเคราะห์ประเภท ลักษณะ เนื้อหา และคุณค่านิทานพื้นบ้านตำนานของไทยซึ่งเป็นมรดกทางวัฒนธรรมอันทรงคุณค่า  เพื่อเสริมสร้างความรู้ความเข้าใจ ฝึกฝนทักษะการอ่าน 
การวิเคราะห์ ตีความ ตลอดจนนำคุณค่าที่ได้ไปปรับใช้ในชีวิต  โดยใช้กระบวนการจัดการเรียนรู้ผ่านการบรรยาย อภิปราย ฝึกฝนการอ่านและวิเคราะห์ การนำเสนอ ทัศนศึกษา และ
การศึกษาค้นคว้าด้วยตนเอง",อ.อนุรักษ์,1,35,-,✔,✔,,,,,,
กลุ่มสาระการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,
ค20201,ตรรกะสัญลักษณ์และรหัสเลข,0.5,1,ศึกษาการวิเคราะห์ความซับซ้อนของปัญหาผ่านแผนภาพ การเรียนเรื่องแทนแกรม และแบบจำลอง (Modeling) และข่ายงาน (Networks) ผู้เรียนจะได้ลงมือทำกิจกรรมที่ท้าทาย  มีการพัฒนาทักษะการให้เหตุผลแบบอุปนัยและนิรนัย การออกแบบวิธีแก้ปัญหาเชิงตรรกะ เพื่อฝึกให้ผู้เรียนสามารถมองเห็นความเชื่อมโยงในเชิงมิติสัมพันธ์และโครงสร้างที่ซับซ้อน เปลี่ยนโจทย์ปัญหาในตำราให้กลายเป็นการสร้างสรรค์ต้นแบบทางความคิดที่พร้อมนำไปใช้งานจริง,"อ.ดร.ภัทรภร / 
อ.ดร.กรวรรณ",1,35,-,,,,,,✔,,
,,,,,อ.ดร.กุลนิดา,2,35,,,,,,✔,,,
,,,,,อ.ดร.กุลนิดา,3,35,,,,✔,,,,,
