รายวิชาเพิ่มเติม ม.2  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,อังคาร,,พุธ,,พฤหัสบดี,,ศุกร์,
,,,,,,,,,7,8,2,3,5,6,5,6
,,,,,,,,,,,,,,,,
กลุ่มสาระการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,
ท22213,"เล่าเรื่องให้เป็นภาพด้วย
อินโฟกราฟิก",1,2,ศึกษากระบวนการสร้างอินโฟกราฟิกประเภทต่าง ๆ เพื่อการนำเสนอข้อมูลอย่างหลากหลายโดยนำความรู้พื้นฐานทางทักษะภาษาไทยผสมผสานกับการออกเเบบอย่างสร้างสรรค์เพื่อประยุกต์ใช้ในการผลิตผลงานอินโฟกราฟิกผ่านเครื่องมือออนไลน์เเคนวา (Canva),อ.มณิการ์,1,25,-,,,,,✔,✔,,
ท22207,โครงงานภาษาไทย 1,1,2,"ศึกษาความหมายของโครงงาน ประเภทของโครงงาน ลักษณะโครงงานภาษาไทย การพัฒนานวัตกรรมในวิชาภาษาไทย 
การเลือกหัวข้อโครงงานตามความสนใจ การเขียนและนำเสนอโครงงานภาษาไทย โดยใช้กระบวนการเรียนรู้โดยใช้โครงงานเป็นฐาน",อ.ดร.เฉลิมลาภ,1,35,-,✔,✔,,,,,,
กลุ่มสาระการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,
ค22231,คณิตศาสตร์เพิ่มเติม 3,0.5,1,ศึกษาการแปรผัน ได้แก่ การแปรผันตรง การแปรผกผัน การแปรผันเกี่ยวเนื่อง  และโจทย์ปัญหาระคนที่เกี่ยวกับการแปรผัน,อ.ดร.กุลนิดา,1,35,-,,,✔,,,,,
,,,,,อ.ดร.กุลนิดา,2,35,,,,,✔,,,,
,,,,,อ.ดร.กุลนิดา,3,35,,,,,,,✔,,
ค22233,คณิตศาสตร์ขั้นสูงสู่โอลิมปิก 3,1,2,ศึกษาเกี่ยวกับทฤษฎีบทในด้านทฤษฎีจำนวน พีชคณิต เรขาคณิต และคอมบินาทอริกส์ และฝึกนำไปใช้แก้โจทย์ปัญหาทางคณิตศาสตร์,อ.จีรพัฒน์,1,15,"เฉพาะนักเรียนในโครงการที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,,,,,,,,,,,,,,,,
ว20232,ฟิสิกส์กลศาสตร์สำหรับดาราศาสตร์ 1,1,2,ศึกษาฟิสิกส์กลศาสตร์ที่เป็นพื้นฐานของการอธิบายการเคลื่อนที่ของวัตถุในอวกาศ  การตกอิสระภายใต้สนามโน้มถ่วง กฎนิวตัน แรงดึงดูดระหว่างมวลและแรงโน้มถ่วงระหว่างดาว งาน พลังงานจลน์ พลังงานศักย์โน้มถ่วง  ความเร็วในการโคจร ความเร็วหลุดพ้น  การเคลื่อนที่ตามกฎเคปเลอร์ รับเฉพาะนักเรียนในโครงการเตรียมความพร้อมดาราศาสตร์โอลิมปิกเท่านั้น,อ.วิทยา,1,20,"เฉพาะนักเรียนในโครงการที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
,,,,,อ.ปิยาภรณ์,2,20,,,,,,,,✔,✔
ว20223,สื่อสารภาษาเคมี,1,2,"ศึกษาการอ่านชื่อและเขียนสัญลักษณ์ของธาตุในตารางธาตุ
ยุคปัจจุบัน การจำแนกธาตุตามหมู่และคาบ สมบัติความเป็นโลหะและอโลหะของธาตุ อิเล็กโทรเนกาติวิตี เลขออกซิเดชัน 
การเกิดพันธะเคมี การเขียนสูตรเคมีของสารประกอบอย่างง่าย การอ่านชื่อสารโคเวเลนต์และสารประกอบไอออนิก สมการเคมีและการดุลสมการเคมี",อ.วรุตม์,1,35,-,✔,✔,,,,,,
,,,,,อ.วรุตม์,2,35,,,,,,✔,✔,,
ว20222,สนุกคิด STEM นอกห้องเรียน,1,2,"ศึกษาและนำความรู้จากศาสตร์ต่าง ๆ มาแก้ปัญหาที่เกิดขึ้นในชีวิตประจำวันผ่านการประดิษฐ์แสนสนุกนอกห้องเรียน เช่น กิจกรรมนาฬิกาแสงแดด แผนที่พฤษศาสตร์โรงเรียน สีจากพืชรอบโรงเรียน เครื่องกรองอากาศอย่างง่าย เป็นต้น ซึ่งเป็น
พื้นฐานสำคัญในการศึกษาต่อในด้านวิทยาศาสตร์ วิศวกรรมศาสตร์และการพัฒนาความคิดสร้างสรรค์ต่อไป","อ.จักรกฤต / 
อ.ใหม่",1,35,-,,,✔,✔,,,,
ว20278,เปิดโลกปัญญาประดิษฐ์และคลาวด์คอมพิวติง,1,2,สำรวจโลกของ AI ในชีวิตประจำวัน ทดลองใช้งาน AI เบื้องต้น เช่น Machine Learning และ Generative AI เรียนรู้การทำงานของคลาวด์คอมพิวติ้ง เทคโนโลยีที่ขับเคลื่อน AI และบริการออนไลน์ต่าง ๆ ,"อ.ภัทรกร
และคณะ",1,20,-,✔,✔,,,,,,
ว20203,CUD-EP ปัญญาประดิษฐ์,1,2,"Introduction to logic theory through English. The course combines logic puzzles, logic tables, deduction tasks, conditional reasoning, set-based thinking, and written explanation in order to strengthen both reasoning skills and academic language skills.",T.Rajesh,,25,เฉพาะนักเรียนโครงการ CUD-EP,,,,,✔,✔,,
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,
ส22231,กฎหมายน่ารู้,1,2,ศึกษากฎหมายสำคัญ ๆ ซึ่งเกี่ยวข้องกับชีวิตประจำวัน  ที่เกี่ยวกับตนเอง  ครอบครัว  ชุมชน  และประเทศ  โดยศึกษาจากกรณีศึกษาเพื่อส่งเสริมการปฏิบัติตนตามกฎหมายได้อย่างถูกต้องตามหน้าที่ของพลเมืองดี  พร้อมทั้งนำกฎหมายมาประยุกต์ใช้ในชีวิตประจำวันได้อย่างเหมาะสม,อ.วิทวัส,1,35,-,,,,,,,✔,✔
ส22232,สันติภาพเริ่มด้วยความรัก,1,2,ศึกษาความหมาย ความสำคัญของสันติภาพ เรียนรู้ความแตกต่างในสังคม ความสำคัญของสิทธิมนุษยชน องค์กรความร่วมมือเพื่อสันติภาพ แนวทางการแก้ปัญหาอย่างสันติวิธี เพื่ออยู่ร่วมกันอย่างสันติในสังคมโลก,อ.อภิรดี,1,35,-,,,,,,,✔,✔
ส22234,เมืองแห่งความสุข,1,2,"ศึกษาธรรมชาติและวิถีชีวิตของชาวเมือง ปัญหาของเมือง และการสร้างสรรค์วัฒนธรรมของคนเมืองที่สร้างความสุขอย่างยั่งยืน โดยการศึกษากรณีตัวอย่างเมืองสำคัญของโลก และ
การเก็บรวบรวมข้อมูลจากภาคสนาม",อ.สรายุทธ,1,35,-,✔,✔,,,,,,
"กลุ่มสาระการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,
พ22258,แบดมินตันเพื่อความสนุกสนาน,1,2,ศึกษาความรู้ทั่วไปเกี่ยวกับประวัติและประโยชน์ของกีฬาแบดมินตัน ระเบียบกติกามารยาทและวิธีการเล่น การจับไม้ ทักษะการตีลูกหน้ามือ-หลังมือ การควบคุมบังคับทิศทางของลูก ทักษะการตบลูก การหยอด การตีลูกดาด การส่งลูก ทักษะการเล่นประเภทเดี่ยว ประเภทคู่ และประเภทคู่ผสม,อ.ทินวัฒน์,1,20,-,,,,,✔,✔,,
พ22263,รอบรู้โอลิมปิก,1,2,ศึกษาเนื้อหาที่เกี่ยวกับยุทธศาสตร์โอลิมปิก (Olympic Movement) และอุดมการณ์โอลิมปิก (Olympism) เป็นปรัชญาชีวิตที่เกิดจากความมุ่งมั่นตั้งใจและความพยายามในการที่จะทำสิ่งใดสิ่งหนึ่งให้สำเร็จ ซึ่งเป็นเรื่องของความดี ความงาม  จริยธรรมและคุณธรรม  และเป็นการหลอมรวมกีฬากับวัฒนธรรมที่ส่งเสริมการพัฒนาคุณภาพชีวิตของมนุษย์ทั้งทางร่างกาย จิตใจและจิตวิญญาณด้วยคุณค่าของโอลิมปิก 3 ประการ ได้แก่ ความยอดเยี่ยม (Excellence) มิตรภาพ  (Friendship) และการเคารพให้เกียรติซึ่งกันและกัน (Respect),อ.ดร.ธานินทร์ ,1,25,-,✔,✔,,,,,,
พ22237,เทเบิลเทนนิสขั้นสูง,1,2,ศึกษาทักษะการเล่นกีฬาเทเบิลเทนนิสขั้นสูงต่างๆ ท่าทางการตี วิธีการตบ การตัด การหยอดลูก ตลอดจนเทคนิค ในการเล่น เพื่อใช้ในการแข่งขันต่อไป,อ.ดร.ชญาภัสร์ ,1,20,-,,,,,,,✔,✔
พ22246,แฮนด์บอลเพื่อพัฒนาตนเอง 2,1,2,จัดการเรียนการสอนโดยใช้กิจกรรมกีฬาแฮนด์บอลเป็นสื่อการเรียนการสอนเพื่อให้นักเรียนมีการพัฒนาสมรรถภาพทางกายเพื่อสุขภาพที่สำคัญกับการดำรงชีวิต รวมทั้งการพัฒนากระบวนการคิด การมีความรู้ความสามารถในการแก้ปัญหา การเคารพกฎ กติกา การมีระเบียบวินัย การมีเจตคติที่ดีในการเล่นกีฬา และการออกกำลังกาย นักเรียนสามารถนำทักษะที่ได้เรียนรู้ไปประยุกต์ใช้ในการพัฒนาสุขภาพตนเองในอนาคตได้,อ.ดร.ฐิติวัสส์ ,1,25,-,,,✔,✔,,,,
พ22239,ฮอกกี้ 6 คน ,1,2,ศึกษากิจกรรมฮอกกี้โดยมุ่งให้นักเรียนได้รับความสนุกสนาน มีความสุขด้วยกิจกรรมฮอกกี้ 6 คน  รักษาสมรรถภาพทางกาย และรักการออกกำลังกายด้วยกีฬา ใช้เวลาว่างให้เกิดประโยชน์ ,อ.ฉฏาธร ,1,25,-,,,,,,,✔,✔
พ22254,บาสเกตบอลพื้นฐาน ,1,2,"ศึกษาความรู้ ความเข้าใจเกี่ยวกับการเคลื่อนไหว
การออกกำลังกาย สมรรถภาพทางกาย กีฬา และเกม มีทักษะในการเคลื่อนไหว การออกกำลังกาย การเล่นกีฬาเทนนิส สามารถเล่นกีฬาเทนนิสร่วมกับผู้อื่นได้อย่างถูกต้องตามหลักการกีฬา กฎ กติกา ระเบียบการเล่น และนำกิจกรรมกีฬา
การออกกำลังกายไปใช้เพื่อสุขภาพ และความปลอดภัยในฐานะผู้เล่นและผู้ชมที่ดี",อ.ฮานาฟีย์ ,1,25,-,✔,✔,,,,,,
