รายวิชาเพิ่มเติม ม.3  1/2569,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
,,,,,,,,,5,6,1,2,5,6,7,8
,,,,,,,,,,,,,,,,
กลุ่มสาระการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,
ท23215,นามนั้นสำคัญไฉน,1,2,ศึกษาที่มาของชื่อ โดยนักเรียนจะได้เรียนรู้ที่มาของชื่อต่าง ๆ ผ่านกระบวนการอ่านและการทัศนศึกษา เพื่อสืบค้นข้อมูลจากสถานที่จริงและสัมภาษณ์เพื่อเก็บข้อมูลจากผู้เชี่ยวชาญที่มีส่วนเกี่ยวข้องกับชื่อนั้น จนนำไปสู่การเขียนสื่อสารอย่างสร้างสรรค์,อ.นาทพงศ์,-,10,-,✔,✔,,,,,,
ท20218,พื้นฐานห้องสมุดและสารสนเทศ ,0.5,1,"ศึกษา ความสำคัญและวิวัฒนาการของห้องสมุด 
การประชาสัมพันธ์และการจัดกิจกรรมส่งเสริมการอ่าน",อ.ดร.ปะราลี ,1,35,-,,,✔,,,,,
ท20219,"ร้อยเรียงนิทาน สร้างสรรค์
งานดิจิทัล",1,2,ศึกษา เขียนและการออกแบบนิทาน ใช้ภาษาในการสื่อสารเล่าเรื่อง สร้างฉาก ตัวละคร โครงเรื่อง และออกแบบหนังสือนิทานอิเล็กทรอนิกส์ด้วยโปรแกรมดิจิทัล,อ.ภัทรพร ,1,25,-,✔,✔,,,,,,
ท20220,"พูดนำเสนอแนวคิดเพื่อ
พิชิตความสำเร็จ",1,2,พัฒนาทักษะการพูดนำเสนอผลงานวิชาการ การแข่งขันนวัตกรรม การสัมภาษณ์ และการนำเสนอแนวคิดทางธุรกิจ,อ.ฐิติภัค,1,35,-,,,,,,,✔,✔
กลุ่มสาระการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,
ค23231,คณิตศาสตร์เพิ่มเติม 5,0.5,1,"เรียนรู้กิจกรรมพัฒนาทักษะกระบวนการทางคณิตศาสตร์ 
การแก้ปัญหาโดยวิธีการแจงนับและใช้ความรู้เกี่ยวกับการหาร การให้เหตุผลทางคณิตศาสตร์ การหาแบบรูปของความสัมพันธ์ การคำนวณพื้นที่ การใช้วิธีการที่หลากหลายในการแก้ปัญหา 
ฝึกพับกระดาษเป็นทรงสามมิติ",อ.มานพ,1,35,-,,✔,,,,,,
,,,,,อ.มานพ,2,35,,,,,,,,✔,
,,,,,อ.มานพ,3,35,,,,,,,,,✔
ค20202,การเรียนรู้เชิงกลยุทธ์ผ่านบอร์ดเกม,1,2,พัฒนาทักษะการคิดเชิงกลยุทธ์ การแก้ปัญหาเชิงสร้างสรรค์ และการตัดสินใจผ่านการเล่นบอร์ดเกมประเภทต่าง ๆ โดยใช้แนวคิดทางคณิตศาสตร์ เศรษฐศาสตร์ จิตวิทยา ในการวิเคราะห์เกมเพื่อวางแผนระยะยาว,"อ.มารุต / 
อ.ดร.ธาดาพนิตสดี",1,20,-,✔,✔,,,,,,
,,,,,"อ.มารุต / 
อ.อภิสรา",2,20,,,,,,,,✔,✔
ค23233,คณิตศาสตร์ขั้นสูงสู่โอลิมปิก 5,1,2,เพิ่มพูนประสบการณ์การแก้โจทย์ปัญหาทางคณิตศาสตร์ในด้านทฤษฎีจำนวน พีชคณิต เรขาคณิต และคอมบินาทอริกส์ เพื่อเตรียมตัวสำหรับการแข่งขันคณิตศาสตร์โอลิมปิก,อ.ดร.นที,1,15,เฉพาะนักเรียนในโครงการที่ผ่านการคัดเลือก,,,,,✔,✔,,
ค23256,CUD-EP คณิตศาสตร์การบินขั้นต้น  (ปิดรายวิชา),,,,,,,,,,,,,,,
กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,,,,,,,,,,,,,,,,
ว20230,ฟิสิกส์และคณิตศาสตร์สำหรับดาราศาสตร์โอลิมปิก,1,2,"ศึกษาคณิตศาสตร์และฟิสิกส์ที่เป็นพื้นฐานสำคัญสำหรับการเข้ารับการอบรมโอลิมปิกดาราศาสตร์ ผลคูณเชิงสเกลาร์และผลคูณเชิงเวกเตอร์ของเวกเตอร์ แคลคูลัส ตรีโกณมิติ กลศาสตร์ กฏของแก๊ส และนำไปประยุกต์ใช้ในการแก้โจทย์ปัญหาข้อสอบการแข่งขันดาราศาสตร์โอลิมปิกระดับชาติ 
ที่มีความซับซ้อนในระดับปานกลางเป็นต้นไป เหมาะสำหรับนักเรียนที่เคยผ่านการเข้ารับการอบรมดาราศาสตร์โอลิมปิก สอวน. ค่าย 1 มาแล้วเท่านั้น",อ.วิทยา,1,20,เฉพาะนักเรียนในโครงการที่ผ่านการคัดเลือก,✔,✔,,,,,,
ว20273,สมองกลฝังตัว,1,2,ศึกษา “ระบบฝังตัว” หรือ “สมองกลฝังตัว”(Embedded system) ซึ่งเป็นเทคโนโลยี ที่มีมานานอยู่รอบตัวเรา อาจจะฝังตัวอยู่ในอุปกรณ์หรือสิ่งอำนวยความสะดวกต่างๆที่เราพบเจอในชีวิตประจำวัน อย่างเช่น ประตูอัตโนมัติที่สามารถเปิดปิดเองได้เมื่อเดินผ่าน ระบบเปิดปิดไฟอัตโนมัติ ระบบรดน้ำต้นไม้อัตโนมัติ และอื่นๆอีกมากมาย ในรายวิชานี้จะเป็นการเรียนรู้หลักการทำงานของระบบสมองกลฝังตัว การต่อวงจรไฟฟ้าและอิเล็กทรอนิกส์เบื้องต้น พื้นฐานการโปรแกรมเบื้องต้น และเสริมความรู้เกี่ยวกับเทคโนโลยี IoT (Internet of Things) เบื้องต้น,อ.วิทยานนท์,1,25,-,,,,,,,✔,✔
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,
ส23231,นักประวัติศาสตร์น้อย,1,2,"ศึกษาความคิดทางประวัติศาสตร์ วิธีการทางประวัติศาสตร์ ความสำคัญของเวลา การเป็นและกระบวนการทำงานของ
นักประวัติศาสตร์ ประเด็นทางประวัติศาสตร์ไทยและโลกที่ตนสนใจ มิติการเปลี่ยนแปลง และกระบวนทัศน์ทางประวัติศาสตร์",อ.พลอยสิริ,1,35,-,,,,,✔,✔,,
ส23233,สิ่งแวดล้อมที่รัก,1,2,"ศึกษาความสัมพันธ์ระหว่างมนุษย์กับสิ่งแวดล้อม การปรับตัวของมนุษย์ต่อสภาพแวดล้อมที่สะท้อนออกมาในลักษณะสังคมวัฒนธรรม สถานการณ์ปัญหาสิ่งแวดล้อมโลก สาเหตุและผลของปัญหาสิ่งแวดล้อมโลก การเป็นผู้ผลิตและผู้บริโภคที่มีจิตสำนึกต่อสิ่งแวดล้อม การลงมือปฏิบัติเพื่อแก้ปัญหาสิ่งแวดล้อม โดยใช้กระบวนการสืบค้นข้อมูล  กิจกรรมกลุ่ม
การคิดวิเคราะห์ การอภิปราย การทัศนศึกษา",อ.พิสิษฐ,1,35,-,,,✔,✔,,,,
ส23234,วิชาพารวย,1,2,ศึกษาคุณค่าและประโยชน์ของเงิน การตั้งเป้าหมายทางการเงิน การวางแผนเพื่อบรรลุเป้าหมายทางการเงิน การจัดการเงินตามบริบทของตนเองในชีวิตประจำวัน การเลือกผลิตภัณฑ์และบริการทางการเงิน แนวทางการออมและการลงทุนในระดับเยาวชน,อ.กมลชนก,1,35,-,,,,,✔,✔,,
