รายวิชาเพิ่มเติม ม.4  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,อังคาร,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,
,,,,,,,,,,2,7,8,3,4,1,2,6,3,4,7,8,1,2,7,8
,,,,,,,,,,ว ศ,ศ,ศ,ว ศ,ว ศ,ศ,ศ,ว ศ,ศ,ศ,ว ศ,ว ศ,ศ,ศ,ศ,ศ
กลุ่มสาระการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,
ท31201,การพัฒนาทักษะภาษาไทย,1,2,"ศึกษาเกี่ยวกับความหมาย หลักการ แนวทางเกี่ยวกับการพัฒนาทักษะการใช้ภาษา ในเรื่องทักษะการฟัง การพูด การอ่าน และการเขียนโดยใช้กระบวนศึกษาหาความรู้ผ่านกิจกรรมสัมพันธ์ และฝึกปฏิบัติการใช้ทักษะภาษาอย่างสร้างสรรค์ รวมถึงใช้
การค้นคว้าหาความรู้ผ่านอินเทอร์เน็ตและแหล่งความรู้ต่าง ๆ",อ.สุวิตรา,1,ทุกกลุ่ม,35,-,,,,✔,✔,,,,,,,,,,,
ท31202,ศิลปะการพูด,1,2,"พัฒนาทักษะการใช้ภาษาผ่านการพูด ดูและฟัง เพื่อให้ผู้เรียนเกิดทักษะการพูดในโอกาสต่างๆ หลักการพูดสนทนากับบุคคลต่าง ๆ ในชีวิตประจำวัน เพื่อให้เกิดปฏิสัมพันธ์ที่ดีต่อคู่สนทนา รวมถึงการพูดเพื่อสร้างอาชีพ เทคนิคการพูดโน้มน้าวใจ 
การพูดโฆษณาสินค้า ผ่านการใช้สื่อสังคมออนไลน์ เพื่อสร้างความตระหนักถึงความสำคัญของการพูด มีศิลปะในการพูดสื่อสาร สามารถพูดวิเคราะห์วิจารณ์และแสดงความคิดเห็นอย่างมีเหตุผล",อ.อนุรักษ์,1,ทุกกลุ่ม,25,-,,,,,,,,,,,✔,✔,,,,
กลุ่มสาระการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,
ค31201,คณิตศาสตร์เพิ่มเติม 7,1.5,3,"ความรู้เบื้องต้นเกี่ยวกับจำนวนจริง สมการและอสมการพหุนาม สมการและอสมการเศษส่วนของพหุนาม สมการและอสมการค่าสัมบูรณ์ของพหุนาม สัญลักษณ์และการดำเนินการของ
เมทริกซ์ ดีเทอร์มิแนนต์ เมทริกซ์ผกผัน การแก้ระบบสมการเชิงเส้นโดยใช้เมทริกซ์ ตรรกศาสตร์เบื้องต้น รูปแบบของประพจน์ที่สมมูลกัน สัจนิรันดร์ การอ้างเหตุผล ประโยคที่มีตัวบ่งปริมาณ
ตัวเดียว",อ.ธนพัฒน์,1,ทุกกลุ่ม,30,-,,,,✔,✔,,,✔,,,,,,,,
,,,,,อ.ดร.ณภาภัช,2,ทุกกลุ่ม,30,,,,,✔,✔,,,✔,,,,,,,,
,,,,,อ.วิมลมาศ,3,ทุกกลุ่ม,30,,,,,✔,✔,,,✔,,,,,,,,
,,,,,อ.ดร.ธาดาพนิตสดี,4,ทุกกลุ่ม,30,,,,,✔,✔,,,✔,,,,,,,,
,,,,,อ.ไพโรจน์,5,ทุกกลุ่ม,30,,,,,✔,✔,,,✔,,,,,,,,
,,,,,อ.มารุต,6,ทุกกลุ่ม,30,,,,,✔,✔,,,✔,,,,,,,,
ค31218,"CUD-EP คณิตศาสตร์
เพิ่มเติม 7",1.5,3,,"T.David / 
อ.ดร.ธาดาพนิตสดี",1,EP,10,เฉพาะนักเรียนโครงการ CUD-EP,✔,,,,,,,,,,✔,✔,,,,
ค30207,ระเบียบวิธีวิจัยเบื้องต้น,0.5,1,"ปูพื้นฐานการวิจัยอย่างเป็นระบบ ตั้งแต่การตั้งคำถามวิจัย 
การทบทวนวรรณกรรม ไปจนถึงการเขียนโครงร่างวิจัยที่ถูกต้อง มุ่งเตรียมความพร้อมสำหรับผู้เริ่มต้นให้เข้าใจหลักการและจรรยาบรรณ เพื่อก้าวสู่การสร้างสรรค์ผลงานวิจัยที่มีคุณภาพในอนาคต","อ.ดร.ภัทรภร / 
อ.ดร.กรวรรณ",1,ทุกกลุ่ม,8,"เรียนรวม
ม.4-6",,,,,,,,,,,,✔,,,,
ค30206,คณิตศาสตร์เพื่อการสอบ SAT/CU-AAT,1,2,วิเคราะห์การทำโจทย์ปัญหาคณิตศาสตร์ตามแนวข้อสอบ SAT maths modules และ CU-AAT ,อ.ดร.ชินะ และคณะ,1,ทุกกลุ่ม,30,-,,,,,,,,,,,✔,✔,,,,
ค30220,"CUD-EP สื่อสารเชิงตรรกะ
ขั้นต้น",1,2,"Introduction to logic theory through English. The course combines logic puzzles, logic tables, deduction tasks, conditional reasoning, set-based thinking, and written explanation in order to strengthen both reasoning skills and academic language skills.",T.Jun-Jun,1,ทุกกลุ่ม,10,เฉพาะนักเรียนโครงการ CUD-EP,,,,✔,✔,,,,,,,,,,,
กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,,,,,,,,,,,,,,,,,,,,,,,,,
ว30237,พื้นฐานการเขียนโปรแกรมภาษาซี,1,2,"ศึกษาและปฏิบัติเกี่ยวกับความรู้เบื้องต้นของระบบคอมพิวเตอร์ หลักการเขียนโปรแกรมคอมพิวเตอร์ หลักการวิธีการออกแบบและพัฒนาโปรแกรมคอมพิวเตอร์พื้นฐานทางเทคโนโลยี และวิศวกรรม ศึกษาเรียนรู้การเขียนผังงาน (Flowchart) เพื่อช่วยในการออกแบบและการเขียนโปรแกรม การศึกษาไวยากรณ์ของภาษาซี (C) โครงสร้างของข้อมูลและตัวแปร การดำเนินการทางคณิตศาสตร์และตรรกศาสตร์เชิงตัวเลข กระบวนการการทำงานแบบตัดสินใจ การทำซ้ำ 
งานฟังก์ชั่น การวิเคราะห์โจทย์ปัญหา การออกแบบอัลกอริทึม งานการเขียนโปรแกรมควบคุมไมโครคอลโทลเลอร์ (Arduino)เบื้องต้น และโครงงานสิ่งประดิษฐ์ควบคุมด้วยโปรแกรมคอมพิวเตอร์",อ.อมรินทร์,1,วิทย์-คณิต,25,-,,,,,,,,,,,✔,✔,,,,
"กลุ่มสาระการเรียนรู้สังคมศึกษา
ศาสนาและวัฒนธรรม",,,,,,,,,,,,,,,,,,,,,,,,,
ส30208,การเมืองเรื่องใกล้ตัว,1,2,"ศึกษาประวัติศาสตร์การปกครองของไทยโดยสังเขปในเรื่อง กระบวนการ นโยบายการบริหารประเทศ รูปแบบการบริหารประเทศ แนวคิดและทฤษฎีด้านการเมืองการปกครอง วิวัฒนาการของระบบการปกครองของประเทศไทย รัฐธรรมนูญและหลักกฎหมายที่ใช้เป็นข้อบังคับสูงสุดใน
การปกครอง บริบทการเมืองโลกกับการเปลี่ยนแปลงการเมืองการปกครองของประเทศไทย รูปแบบและอำนาจหน้าที่ของรัฐสภา รัฐบาล และศาล ในการเมืองยุคปัจจุบัน รวมถึงอิทธิพลของการเมืองการปกครองที่ส่งผลต่อการดำเนินชีวิตของประชาชนไทย",อ.บุญฤทธิ์,1,ทุกกลุ่ม,35,-,,,,,,,,,,,,,,,✔,✔
