รายวิชาเพิ่มเติม ม.5  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,,,พุธ,,,พฤหัสบดี,,,,ศุกร์,,,,
,,,,,,,,,,3,4,1,2,7,8,3,4,6,1,2,7,8,3,4,6,7,8
,,,,,,,,,,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว,ว,ว ศ,ว ศ,ว ศ
กลุ่มสาระการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
ท32205,100 หนังสือที่เด็กและเยาวชนควรอ่าน,1,2,"ศึกษาความหมาย รูปแบบ องค์ประกอบของวรรณกรรมประเภทต่าง  ๆ พัฒนาทักษะการอ่านหนังสือ การอ่านจับใจความ อ่านเชิงวิเคราะห์ วิจารณ์ และมีวิจารณญาณในการอ่าน หลักการพิจารณาวรรณกรรม การเลือกวรรณกรรมจากหนังสือ 100 เล่มที่เยาวชนควรอ่าน ทั้งบันเทิงคดีและสารคดี ฝึกทักษะการอ่าน โดยใช้แนวคิดวรรณกรรมเป็นฐาน การตอบสนอง
ผู้อ่าน การอ่านเป็นวงวรรณกรรรม และการค้นคว้าและนำเสนอแนวคิดจากการอ่านวรรณกรรมตามความสนใจ",อ.ดร.เฉลิมลาภ,1,ทุกกลุ่ม,35,-,,,,,,,,,,✔,✔,,,,,,,
กลุ่มสาระการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค32231,คณิตศาสตร์เพิ่มเติม 9,1.5,3,"ฟังก์ชันเอกซ์โพเนนเชียล ฟังก์ชันลอการิทึม สมการ 
เอกซ์โพเนนเชียลและสมการลอการิทึม ฟังก์ชันตรีโกณมิติ ฟังก์ชันตรีโกณมิติผกผัน เอกลักษณ์และสมการตรีโกณมิติ 
กฎของโคไซน์และกฎของไซน์",อ.ธนพัฒน์,1,ทุกกลุ่ม,30,-,,,,,,,✔,✔,,,,,,,,✔,,
,,,,,อ.ดร.นที,2,ทุกกลุ่ม,30,,,,,,,,✔,✔,,,,,,,,✔,,
,,,,,อ.วิมลมาศ,3,ทุกกลุ่ม,30,,,,,,,,✔,✔,,,,,,,,✔,,
,,,,,ผศ.กฤติญา,4,ทุกกลุ่ม,30,,,,,,,,✔,✔,,,,,,,,✔,,
,,,,,อ.ไพโรจน์,5,ทุกกลุ่ม,30,,,,,,,,✔,✔,,,,,,,,✔,,
,,,,,อ.มารุต,6,ทุกกลุ่ม,30,,,,,,,,✔,✔,,,,,,,,✔,,
ค32251,"CUD-EP คณิตศาสตร์
เพิ่มเติม 9",1.5,3,,"T.Jun-Jun / 
อ.ดร.กุลนิดา",1,EP,5,เฉพาะนักเรียนโครงการ CUD-EP,,,,,,,,,,✔,,,,✔,✔,,,
