รายวิชาเพิ่มเติม ม.6  1/2569,,  หมายเหตุ :  นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.4-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม/ตอนเรียน,กลุ่มการเรียนที่ลงทะเบียนได้,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,,,,อังคาร,,,,,พุธ,,,,,พฤหัสบดี,,ศุกร์,,,,
,,,,,,,,,,1,3,4,7,8,3,4,6,7,8,1,2,4,7,8,7,8,1,2,3,4,6
,,,,,,,,,,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ,ว ศ
กลุ่มสาระการเรียนรู้ภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ท30229,ภารกิจพิชิตสารสนเทศ,0.5,1,"เรียนรู้บทบาทของแหล่งเรียนรู้ในยุคดิจิทัลทั้งภายในและภายนอกห้องสมุด การประเมินความน่าเชื่อถือของสารสนเทศ ฝึกปฏิบัติการจัดกิจกรรมส่งเสริมการอ่าน การจัดสัปดาห์
ห้องสมุด",อ.ดร.ปะราลี ,1,ทุกกลุ่ม,30,-,,,,,,,,,,,,,,,,,,✔,,,,
ท30230,คิด เขียน สร้าง ด้วยปัญญาประดิษฐ์,1,2,ศึกษาการใช้ภาษาไทยในยุคดิจิทัลผ่านปัญญาประดิษฐ์ (AI) และสื่อต่าง ๆ เช่น ซีรีส์หรือคอนเทนต์ออนไลน์ และใช้ปัญญาประดิษฐ์ (AI) สร้างสรรค์งานภาษาไทยอย่างมีวิจารณญาณ ,อ.ชนากานต์ ,1,ทุกกลุ่ม,35,-,,,,,,✔,✔,,,,,,,,,,,,,,,
ท30231,"สื่อสารให้คลิก พลิกชีวิต
สู่โอกาส",1,2,พัฒนาทักษะการสื่อสารเชิงกลยุทธ์ในโลกดิจิทัล ฝึกวิเคราะห์ผู้รับสาร ปรับสารให้เหมาะสมกับบริบทและเป้าหมายอย่างมีประสิทธิภาพเพื่อเพิ่มโอกาสทางอาชีพและภาพลักษณ์ที่ดี,"อ.สุภัสรา / 
อ.เรือนขวัญ",1,ทุกกลุ่ม,35,-,,,,✔,✔,,,,,,,,,,,,,,,,,
กลุ่มสาระการเรียนรู้คณิตศาสตร์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค33231,คณิตศาสตร์เพิ่มเติม 11,1.5,3,การลู่เข้าและลู่ออกของลำดับและอนุกรมอนันต์ การประยุกต์ของลำดับและอนุกรม ลิมิตและความต่อเนื่องของฟังก์ชัน อนุพันธ์ของฟังก์ชันพีชคณิต และปริพันธ์ของฟังก์ชันพีชคณิต,อ.ธนพัฒน์,1,ทุกกลุ่ม,30,-,,,,,,,,✔,,,,,,,,,,,✔,✔,,
,,,,,อ.ดร.นที,2,ทุกกลุ่ม,30,,,,,,,,,✔,,,,,,,,,,,✔,✔,,
,,,,,อ.วิวัฒน์ / อ.ใหม่,3,ทุกกลุ่ม,30,,,,,,,,,✔,,,,,,,,,,,✔,✔,,
,,,,,ผศ.กฤติญา,4,ทุกกลุ่ม,30,,✔,,,,,,,,,,,,,✔,✔,,,,,,,
,,,,,อ.ใหม่,5,ทุกกลุ่ม,30,,✔,,,,,,,,,,,,,✔,✔,,,,,,,
ค33203,แคลคูลัส CUD-AP 1,1,2,"ลิมิตและความต่อเนื่องของฟังก์ชัน การหาอนุพันธ์ 
การอินทิเกรตของฟังก์ชันค่าจริงของหนึ่งตัวแปรจริง 
ฟังก์ชันอดิศัย และการประยุกต์ของอนุพันธ์","อ.ดร.นที / 
อ.ธนพัฒน์",1,วิทย์-คณิต,3,เฉพาะนักเรียนโครงการ CUD-AP,,,,,,,,,✔,✔,,,,,,,,,,,,
